Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,marketCap,priceToBook,fiftyTwoWeekHigh,fiftyTwoWeekLow
2014-11-17 00:00:00+09:00,1031.846453870871,1033.328140283417,1008.7320915741799,1011.2509765625,61139500,0.0,0.0,7203.T,35503520874496,1.0345803,3891.0,2183.0
2014-11-18 00:00:00+09:00,1025.1788866285176,1037.032378178794,1023.6972001847331,1036.8841552734375,60291500,0.0,0.0,7203.T,35503520874496,1.0345803,3891.0,2183.0
2014-11-19 00:00:00+09:00,1037.3283168933358,1054.0714407905778,1037.3283168933358,1040.8843994140625,64580000,0.0,0.0,7203.T,35503520874496,1.0345803,3891.0,2183.0
2014-11-20 00:00:00+09:00,1045.922526769559,1053.4790916750985,1045.922526769559,1051.7010498046875,50738500,0.0,0.0,7203.T,35503520874496,1.0345803,3891.0,2183.0
2014-11-21 00:00:00+09:00,1054.0717698117169,1057.183275162386,1038.8103271285356,1050.3675537109375,59946500,0.0,0.0,7203.T,35503520874496,1.0345803,3891.0,2183.0
2014-11-25 00:00:00+09:00,1064.295320966272,1071.7037529518857,1061.3319481720264,1065.33251953125,70004500,0.0,0.0,7203.T,35503520874496,1.0345803,3891.0,2183.0
2014-11-26 00:00:00+09:00,1063.5545967488672,1069.6295659176612,1061.3320669045459,1063.8509521484375,36947000,0.0,0.0,7203.T,35503520874496,1.0345803,3891.0,2183.0
2014-11-27 00:00:00+09:00,1060.887355679869,1065.3324144327175,1055.7014538015455,1058.961181640625,38828000,0.0,0.0,7203.T,35503520874496,1.0345803,3891.0,2183.0
2014-11-28 00:00:00+09:00,1066.518068496803,1083.7056884765625,1065.6290926508582,1083.7056884765625,61697500,0.0,0.0,7203.T,35503520874496,1.0345803,3891.0,2183.0
2014-12-01 00:00:00+09:00,1090.5210796805763,1105.9306528500435,1089.335748767914,1100.7447509765625,46748000,0.0,0.0,7203.T,35503520874496,1.0345803,3891.0,2183.0
2014-12-02 00:00:00+09:00,1094.966139071119,1115.5616141261398,1094.6697837340419,1115.2652587890625,49740000,0.0,0.0,7203.T,35503520874496,1.0345803,3891.0,2183.0
